column,std,min,max,n_unique,range,near_constant
sensor_16,0.00471152271869564,0.02,0.03,2.0,0.009999999999999998,True
sensor_10,0.12727377604401854,0.93,1.3,9.0,0.37,False
operational_setting_2,0.30958660218923495,0.0,0.842,105.0,0.842,False
sensor_15,0.7483248172865942,8.3411,11.0669,7921.0,2.7257999999999996,False
sensor_11,3.227350145138283,36.25,48.51,670.0,12.259999999999998,False
sensor_5,3.608462704203828,3.91,14.62,6.0,10.709999999999999,False
sensor_19,5.358710692803872,84.93,100.0,2.0,15.069999999999993,True
sensor_6,5.4234376163476,5.71,21.61,14.0,15.899999999999999,False
sensor_21,5.912079492916821,6.0105,23.5901,15687.0,17.5796,False
sensor_20,9.853311972019132,10.21,39.31,496.0,29.1,False
operational_setting_3,14.223518759930657,60.0,100.0,2.0,40.0,True
operational_setting_1,14.728793070988548,0.0,42.008,536.0,42.008,False
sensor_1,26.3620952990448,445.0,518.67,6.0,73.66999999999996,False
sensor_17,27.712904773751966,303.0,399.0,53.0,96.0,False
sensor_2,37.24387691261794,535.71,644.52,1537.0,108.80999999999995,False
sensor_14,84.823015549224,7848.36,8268.5,13463.0,420.1400000000003,False
sensor_3,105.79150578158239,1243.73,1612.34,11321.0,368.6099999999999,False
sensor_4,118.94096065383984,1023.77,1439.23,13741.0,415.46000000000004,False
sensor_13,127.94148837826663,2027.61,2390.48,494.0,362.8700000000001,False
sensor_12,137.43320776258767,129.12,523.37,1614.0,394.25,False
sensor_8,145.0439853824575,1914.77,2388.36,874.0,473.59000000000015,False
sensor_18,145.16054396568381,1915.0,2388.0,6.0,473.0,False
sensor_7,145.76799838121295,136.99,555.82,1992.0,418.83000000000004,False
sensor_9,335.33350222632015,7985.56,9215.66,19160.0,1230.0999999999995,False
