column,std,min,max,n_unique,range,near_constant
sensor_1,0.0,518.67,518.67,1.0,0.0,True
operational_setting_3,0.0,100.0,100.0,1.0,0.0,True
sensor_19,0.0,100.0,100.0,1.0,0.0,True
sensor_18,0.0,2388.0,2388.0,1.0,0.0,True
sensor_16,1.3878177562151742e-17,0.03,0.03,1.0,0.0,True
sensor_5,3.552813455910846e-15,14.62,14.62,1.0,0.0,True
operational_setting_2,0.0002939845616342514,-0.0006,0.0007,14.0,0.0013,False
operational_setting_1,0.002191727425863477,-0.0086,0.008,157.0,0.0166,False
sensor_10,0.003451557864403787,1.29,1.32,4.0,0.030000000000000027,False
sensor_6,0.019318672183524215,21.45,21.61,17.0,0.16000000000000014,False
sensor_15,0.06054705556094764,8.1563,8.5705,2980.0,0.41419999999999924,False
sensor_21,0.148221753711478,22.8726,23.9505,5876.0,1.0779000000000032,False
sensor_13,0.16827846038675065,2386.93,2388.61,163.0,1.680000000000291,False
sensor_8,0.1684486419157405,2386.9,2388.6,160.0,1.699999999999818,False
sensor_20,0.2479392963872687,38.17,39.85,164.0,1.6799999999999997,False
sensor_11,0.3040259373201512,46.69,48.44,170.0,1.75,False
sensor_2,0.5267752165501529,640.84,645.11,328.0,4.269999999999982,False
sensor_17,1.7841666231107223,388.0,399.0,12.0,11.0,False
sensor_12,3.2555630009988703,517.77,537.11,1673.0,19.340000000000032,False
sensor_7,3.4384864502688575,549.61,570.23,1756.0,20.620000000000005,False
sensor_3,6.9133634254056355,1564.3,1615.39,3211.0,51.090000000000146,False
sensor_4,9.877158297054024,1377.06,1441.16,4149.0,64.10000000000014,False
sensor_14,17.186485011595316,8099.68,8290.55,5748.0,190.86999999999898,False
sensor_9,20.754220358640378,9017.98,9234.35,6369.0,216.3700000000008,False
