column,std,min,max,n_unique,range,near_constant
sensor_1,0.0,518.67,518.67,1.0,0.0,True
sensor_10,0.0,1.3,1.3,1.0,0.0,True
sensor_19,0.0,100.0,100.0,1.0,0.0,True
sensor_18,0.0,2388.0,2388.0,1.0,0.0,True
operational_setting_3,0.0,100.0,100.0,1.0,0.0,True
sensor_16,1.387825327890442e-17,0.03,0.03,1.0,0.0,True
sensor_5,1.776416419699766e-15,14.62,14.62,1.0,0.0,True
operational_setting_2,0.00029210743253123045,-0.0006,0.0006,13.0,0.0012,False
sensor_6,0.0014019774261707133,21.6,21.61,2.0,0.00999999999999801,True
operational_setting_1,0.0021823317587405656,-0.0087,0.0087,153.0,0.0174,False
sensor_15,0.03759853309107651,8.3249,8.5848,1851.0,0.2599,False
sensor_8,0.07084114256079294,2387.9,2388.52,50.0,0.6199999999998909,False
sensor_13,0.07182528014435552,2387.88,2388.56,54.0,0.6799999999998363,False
sensor_21,0.10869834040772594,22.8942,23.6127,4415.0,0.7184999999999988,False
sensor_20,0.18176455317121387,38.19,39.43,117.0,1.240000000000002,False
sensor_11,0.2682674841784197,46.86,48.53,154.0,1.6700000000000017,False
sensor_2,0.5009738744144603,641.21,644.53,302.0,3.3199999999999363,False
sensor_12,0.7419495892152854,518.69,523.38,421.0,4.689999999999941,False
sensor_7,0.8923225365643856,549.85,556.06,505.0,6.209999999999923,False
sensor_17,1.5525475239375681,388.0,400.0,13.0,12.0,False
sensor_3,6.1306798182816715,1571.04,1616.91,2854.0,45.87000000000012,False
sensor_4,9.031324111763873,1382.25,1441.49,3802.0,59.24000000000001,False
sensor_14,18.330201593742082,8102.82,8290.25,5186.0,187.4300000000003,False
sensor_9,21.269365803232148,9021.73,9239.76,5448.0,218.03000000000065,False
